fold,epoch,lr,train_loss,train_bce,train_huber,train_grad_norm,train_acc_h1,train_acc_h5,train_acc_h20,train_mean_acc,val_loss,val_bce,val_huber,val_grad_norm,val_acc_h1,val_acc_h5,val_acc_h20,val_mean_acc,gap
1,1,2.9999999999999997e-05,0.34864582602183025,0.6901388891537984,0.007152760744094848,0.030890760873754818,0.5283816057046254,0.5503292682965597,0.5265818088849386,0.5350975609620413,0.3509240937037546,0.6938491160752344,0.007999080195106933,0.0,0.5250022987850377,0.522184675834218,0.5089208307813425,0.5187026018001993,-0.002278267681924351
1,2,5.9999999999999995e-05,0.34610484035809835,0.685186348438263,0.007023331188907226,0.036952747787038484,0.5520739329655965,0.5664855182965597,0.5468340954780578,0.555131182246738,0.35131020672985763,0.6946362940991511,0.007984121368251374,0.0,0.5261828762585999,0.5212700977677205,0.510483987507273,0.5193123205111978,-0.005205366371759279
1,3,8.999999999999999e-05,0.34529098534584046,0.6835900198618571,0.006991954371333122,0.046278429781397186,0.5579860264460246,0.5682248476346334,0.5452070630391439,0.5571393123732673,0.351510897523067,0.6950273132715069,0.007994477369929434,0.0,0.5254324953087041,0.5204556799325787,0.5081244746192557,0.5180042166201795,-0.006219912177226561
1,4,0.00011999999999999999,0.3442799587249756,0.6815792662302653,0.006980649784207344,0.05573746367295583,0.5611206809679667,0.5745454777081808,0.5479697662989299,0.5612119749916924,0.3514045442714066,0.6948170144049848,0.007992087756512596,0.0,0.5199417432800668,0.516413146355113,0.5090390526857532,0.5151313141069777,-0.007124585546431028
1,5,0.00015,0.34312943069140117,0.6792978084882101,0.006961054136355718,0.06911301685372988,0.5643968496322632,0.5762825202941895,0.5498892277081807,0.5635228658782111,0.35166641630110196,0.6953397920874299,0.00799303309472858,0.0,0.5242420659690606,0.5218103063888238,0.5105578762585999,0.5188700828721614,-0.008536985609700787
1,6,0.00017999999999999998,0.34159472839037575,0.6762507508595784,0.006938709788024426,0.081473195652167,0.5710505588849386,0.5830767277081808,0.5547822662989299,0.5696365176306831,0.35321714301578333,0.6984262700940742,0.008008023578917882,0.0,0.5235639321999471,0.5237757465878471,0.5106038514707909,0.519314510086195,-0.011622414625407584
1,7,0.00020999999999999998,0.3396269292036692,0.6723395029703776,0.006914356513569753,0.09826923048496246,0.580847561041514,0.585868140220642,0.5578084349632263,0.5748413787417941,0.35439359311197627,0.7007756682692982,0.008011519886003654,0.0,0.5177743405592247,0.5193391393442623,0.5085825846820581,0.515232021528515,-0.014766663908307054
1,8,0.00023999999999999998,0.3363917203744253,0.6659072804450988,0.006876161771516005,0.12337433336178462,0.5847825202941894,0.5994151422182719,0.5678447662989299,0.5840141429371304,0.3551444743500381,0.7022651736853552,0.008023778068237617,0.0,0.5100061737123083,0.5115906762295082,0.5063872689106426,0.5093280396174863,-0.018752753975612824
1,9,0.00027,0.33263525406519573,0.6584448860486348,0.006825620170682669,0.1581195004383723,0.6004827235539755,0.6058290143013001,0.5763262195587158,0.5942126524713304,0.3597554075913351,0.7114709869759982,0.00803982876393883,0.0,0.519931890925423,0.5138500293747323,0.502773289797736,0.5121850700326305,-0.02712015352613939
1,10,0.0003,0.32740076279640196,0.6480128186543782,0.006788707981506983,0.19194495646158855,0.6140398882230123,0.6183965954780578,0.5861519309679667,0.6061961382230123,0.36150653831294327,0.7149633472083045,0.008049731501607134,0.0,0.5223390215733013,0.5122589586211033,0.5056089744216106,0.5134023182053383,-0.034105775516541315
1,11,0.000299980179223908,0.31928695289293924,0.6318605631192525,0.006713343869894743,0.23867753771940867,0.6257068088849386,0.6358605182965597,0.6035269309679667,0.6216980860498217,0.3609886618911243,0.7139496373348548,0.008027678103659485,0.0,0.5153754206954456,0.5063938371470718,0.5029276350482565,0.508232297630258,-0.04170170899818504
1,12,0.00029992072231443425,0.3116625909805298,0.6166785869598389,0.0066465950856606166,0.28433167111873625,0.6325815548896789,0.6469695121447245,0.615831554889679,0.6317942073080275,0.3586280086978537,0.7092459700146659,0.008010041632796408,0.0,0.5219909236079356,0.5081786596384205,0.5013628367517815,0.5105108066660459,-0.04696541771732393
1,13,0.00029982164552650413,0.3040200518767039,0.6014593637784322,0.006580741590509812,0.31775054057439167,0.647816311041514,0.6599072662989298,0.6303757621447246,0.6460331131617228,0.35830366464911917,0.7085982912876567,0.008009031918815902,0.0,0.5164476281306782,0.5084167455063492,0.4991133354726385,0.507992569703222,-0.05428361277241528
1,14,0.0002996829759467223,0.2976415248711904,0.5887358366648356,0.006547214013834794,0.3466305702527364,0.6550609755516053,0.6699956809679667,0.6430792682965597,0.656045308272044,0.35846576192339913,0.7089188177077497,0.008012703993953154,0.0,0.5204540383620341,0.5095874711138303,0.506531762295082,0.5121910905903154,-0.06082423705220874
1,15,0.0002995047514859671,0.2912718474070231,0.5760537516276042,0.006489944536238908,0.36646544353167215,0.6676755588849386,0.6785846036275228,0.6527771849632263,0.6663457824918959,0.3625817548056118,0.7171427666163835,0.008020744071204643,0.0,0.5200796684280771,0.5080505858679287,0.5015746506511188,0.5099016349823748,-0.07130990739858867
1,16,0.00029928702086902664,0.28504242142041525,0.5636462960243225,0.006438545363644759,0.37159113931655885,0.6779590954780579,0.6851026422182719,0.6673081809679667,0.6767899728880988,0.3550454969288873,0.7020837185812778,0.008007269199998652,0.0,0.51008334658185,0.5119748975409836,0.5025253520637262,0.5081945320621865,-0.07000307550847207
1,17,0.0002990298436212775,0.2801137847105662,0.553814104159673,0.0064134662300348285,0.38067907611529034,0.6830919715563456,0.6914331809679667,0.673693851629893,0.6827396680514018,0.35619581722822347,0.7043840162089614,0.008007624430856744,0.0,0.5242880416698144,0.5055170239972286,0.5009342817986597,0.5102464491552342,-0.07608203251765727
1,18,0.00029873329005241137,0.27664068631331123,0.5469000589052836,0.006381316767384609,0.3887936814626058,0.6876882621447246,0.6999329268137614,0.6764723068873087,0.6880311652819316,0.3582976875735111,0.7085896720651721,0.008005703013146022,0.0,0.5162555174749406,0.5159911596384205,0.5057452579990762,0.5126639783708125,-0.08165700126019987
1,19,0.0002983974412372129,0.2728523810704549,0.5393618729114532,0.006342888473222653,0.4013342271645864,0.6950294715563456,0.7011623476346334,0.6872324695587159,0.694474762916565,0.370249118472709,0.7324588054516277,0.00803943334116799,0.0,0.5220910838392915,0.5114346889198803,0.5059373686548139,0.5131543804713286,-0.09739673740225413
1,20,0.0002980223889933947,0.2694336632490158,0.5325575267473857,0.006309798917422692,0.3940698448816935,0.6981519309679667,0.7058107215563456,0.6881310976346334,0.6973645833863152,0.36251861931847745,0.717016975410649,0.008020258104031692,0.0,0.5246262872805361,0.5134658080632569,0.5043183848506114,0.5141368267314682,-0.09308495606946166
1,21,0.0002976082358564954,0.2658127742608388,0.5253207124869028,0.0063048371896147724,0.39225013478597004,0.703206554889679,0.7099461382230123,0.694195884068807,0.702449525727166,0.35601918814612216,0.7040356456256304,0.008002737895814611,0.0,0.5192471889198803,0.5088190284908795,0.5102097782932344,0.5127586652346647,-0.09020641388528333
